UTF-8,,,,,
Parent.RuleTypeID,RuleId,RuleType,Approver.Name,IsWatcher,Priority
1000,1000-0-0,CategoryManager,,N,6
1000,1000-0-0,CategoryManagerChain,,N,5
1000,1000-0-0,CostCenter,,N,3
1000,1000-0-0,Hazmat,,N,7
1000,1000-0-0,NonCatalog,,N,2
1000,1000-0-0,OnBehalfOf,,N,1
1000,1000-0-0,PreApproval,,N,5
1000,1000-0-0,Supervisor,,N,3
1000,1000-0-0,SupervisorChain,,N,5
1000,1000-0-BusinessResourceApprover,BusinessResourceApprover,,N,8
1885,1885-0-0,CategoryManager,,N,6
1885,1885-0-0,CostCenter,,N,3
1885,1885-0-0,Hazmat,,N,7
1885,1885-0-0,NonCatalog,,N,2
1885,1885-0-0,OnBehalfOf,,N,1
1885,1885-0-0,PreApproval,,N,5
1885,1885-0-0,Supervisor,,N,3
1885,1885-0-0,SupervisorChain,,N,5
1885,1885-0-BusinessResourceApprover,BusinessResourceApprover,,N,8
5Y00,5Y00-0-BlockAdmin,BlockAdmin,,Y,5
5Y00,5Y00-0-CostCenter,CostCenter,,N,3
5Y00,5Y00-0-NonCatalog,NonCatalog,,N,2
5Y00,5Y00-0-OnBehalfOf,OnBehalfOf,,N,1
5Y00,5Y00-0-Supervisor,Supervisor,,N,3
5Y00,5Y00-0-SupervisorChain,SupervisorChain,,N,4
8500,8500-0-BlockAdmin,BlockAdmin,,Y,5
8500,8500-0-CostCenter,CostCenter,,N,3
8500,8500-0-NonCatalog,NonCatalog,,N,2
8500,8500-0-OnBehalfOf,OnBehalfOf,,N,1
8500,8500-0-Supervisor,Supervisor,,N,3
8500,8500-0-SupervisorChain,SupervisorChain,,N,4
8600,8600-0-BlockAdmin,BlockAdmin,,Y,5
8600,8600-0-CostCenter,CostCenter,,N,3
8600,8600-0-NonCatalog,NonCatalog,,N,2
8600,8600-0-OnBehalfOf,OnBehalfOf,,N,1
8600,8600-0-Supervisor,Supervisor,,N,3
8600,8600-0-SupervisorChain,SupervisorChain,,N,4
8900,8900-0-BA,BrokerApprover,,N,8
8900,8900-0-CC,CostCenter,,N,11
8900,8900-0-CM,CategoryManager,,N,13
8900,8900-0-CMC,CategoryManagerChain,,N,15
8900,8900-0-Capital,Capital,,N,5
8900,8900-0-EA,ExpenseApprover,,N,7
8900,8900-0-Haz,Hazmat,,N,8
8900,8900-0-NonCat,NonCatalog,,N,3
8900,8900-0-OBO,OnBehalfOf,,N,1
8900,8900-0-PA,PreApproval,,N,5
8900,8900-0-Supervisor,Supervisor,,N,11
8900,8900-0-SupervisorChain,SupervisorChain,,N,16
AK00,AK00-0-BlockAdmin,BlockAdmin,,Y,6
AK00,AK00-0-CostCenter,CostCenter,,N,3
AK00,AK00-0-Hazmat,Hazmat,,N,5
AK00,AK00-0-NonCatalog,NonCatalog,,N,2
AK00,AK00-0-OnBehalfOf,OnBehalfOf,,N,1
AK00,AK00-0-Supervisor,Supervisor,,N,3
AK00,AK00-0-SupervisorChain,SupervisorChain,,N,4
DH00,DH00-0-BlockAdmin,BlockAdmin,,Y,5
DH00,DH00-0-CostCenter,CostCenter,,N,3
DH00,DH00-0-NonCatalog,NonCatalog,,N,2
DH00,DH00-0-OnBehalfOf,OnBehalfOf,,N,1
DH00,DH00-0-Supervisor,Supervisor,,N,3
DH00,DH00-0-SupervisorChain,SupervisorChain,,N,4
HJ00,HJ00-0-BlockAdmin,BlockAdmin,,Y,5
HJ00,HJ00-0-CostCenter,CostCenter,,N,3
HJ00,HJ00-0-NonCatalog,NonCatalog,,N,2
HJ00,HJ00-0-OnBehalfOf,OnBehalfOf,,N,1
HJ00,HJ00-0-Supervisor,Supervisor,,N,3
HJ00,HJ00-0-SupervisorChain,SupervisorChain,,N,4
JY00,JY00-0-BlockAdmin,BlockAdmin,,Y,5
JY00,JY00-0-CostCenter,CostCenter,,N,3
JY00,JY00-0-NonCatalog,NonCatalog,,N,2
JY00,JY00-0-OnBehalfOf,OnBehalfOf,,N,1
JY00,JY00-0-Supervisor,Supervisor,,N,3
JY00,JY00-0-SupervisorChain,SupervisorChain,,N,4
MC00,MC00-0-0,CategoryManager,,N,13
MC00,MC00-0-0,CategoryManagerChain,,N,15
MC00,MC00-0-0,CostCenter,,N,11
MC00,MC00-0-0,Hazmat,,N,8
MC00,MC00-0-0,NonCatalog,,N,3
MC00,MC00-0-0,OnBehalfOf,,N,1
MC00,MC00-0-0,Supervisor,,N,11
MC00,MC00-0-0,SupervisorChain,,N,16
MC00,MC00-0-BA,BrokerApprover,,N,8
MC00,MC00-0-Capital,Capital,,Y,5
