Cp1252,,
UniqueName,Name,NARSApplicationID
AB Receiving,AB Receiving,MSC-01-ABRCVG
AD Receiving,AD Receiving,MSC-01-ADRCVG
AP_CBS_MX,Accounts Payable Approver(Mexico),MSC-01-AP_CBS_MX
AP_CBS_MX,Accounts Payable Approver,MSC-01-AP_CBS_MX
Accounts Payable (ezopen),Accounts Payable (Geneva),MSC-36-ACCTPAYABLE
Accounts Payable (mfg1-DX),Accounts Payable (Perkins),MSC-DX-ACCTSPAYABLE_UKDX
Accounts Payable (mfg1-NA),Accounts Payable (Shibaura),MSC-NA-ACCTSPAYABLE_UKNA
Analysis Admin,Analysis Admin,MSC-01-ANALYSIS_ADMIN
Analysis User,Analysis User,MSC-01-ANALYSIS_USER
Aurora Receiving,Aurora Receiving,MSC-12-AURORARCVG
BA_CBS,Block Admin CBS,MSC-01-BLOCK_ADMIN_CBS
BA_CBS_CN,Blocked Supplier Admin China,MSC-01-FT00_BA
BR_CBS_MX_8900,Broker Approver(Mexico),MSC-01-BR_CBS_MX_8900
BR_CBS_MX_MC00,Broker Approver(Mexico),MSC-01-BR_CBS_MX_MC00
BR_CBS_MX_ME00,Broker Approver(Mexico),MSC-01-BR_CBS_MX_ME00
BR_CBS_MX_XY00,Broker Approver(Mexico),MSC-01-BR_CBS_MX_XY00
BCP Receiving,BCP Receiving,MSC-DQ-BCPRCVG
BU_RVWR_JL_J0933,BU Reviewer,MSC-01-BU_RVWR_JL_J0933
BU_RVWR_JI_J0944,BU Reviewer,MSC-01-BU_RVWR_JI_J0944
BU_RVWR_18_J0944,BU Reviewer,MSC-01-BU_RVWR_18_J0944
BU_RVWR_18_J0933,BU Reviewer,MSC-01-BU_RVWR_18_J0933
BU_RVWR_01_J0430,BU Reviewer,MSC-01-BU_RVWR_01_J0430
BU_RVWR_01_J0435,BU Reviewer,MSC-01-BU_RVWR_01_J0435
BU_RVWR_01_J0538,BU Reviewer,MSC-01-BU_RVWR_01_J0538
BU_RVWR_01_J0751,BU Reviewer,MSC-01-BU_RVWR_01_J0751
BU_RVWR_01_J0840,BU Reviewer,MSC-01-BU_RVWR_01_J0840
BU_RVWR_01_J0851,BU Reviewer,MSC-01-BU_RVWR_01_J0851
BU_RVWR_01_J0852,BU Reviewer,MSC-01-BU_RVWR_01_J0852
BU_RVWR_01_J0853,BU Reviewer,MSC-01-BU_RVWR_01_J0853
BU_RVWR_01_J0854,BU Reviewer,MSC-01-BU_RVWR_01_J0854
BU_RVWR_01_J0855,BU Reviewer,MSC-01-BU_RVWR_01_J0855
BU_RVWR_01_J0857,BU Reviewer,MSC-01-BU_RVWR_01_J0857
BU_RVWR_01_J0922,BU Reviewer,MSC-01-BU_RVWR_01_J0922
BU_RVWR_01_J0923,BU Reviewer,MSC-01-BU_RVWR_01_J0923
BU_RVWR_01_J0936,BU Reviewer,MSC-01-BU_RVWR_01_J0936
BU_RVWR_01_J0944,BU Reviewer,MSC-01-BU_RVWR_01_J0944
BU_RVWR_01_J0949,BU Reviewer,MSC-01-BU_RVWR_01_J0949
BU_RVWR_01_J0952,BU Reviewer,MSC-01-BU_RVWR_01_J0952
BU_RVWR_01_J0956,BU Reviewer,MSC-01-BU_RVWR_01_J0956
BU_RVWR_01_J0985,BU Reviewer,MSC-01-BU_RVWR_01_J0985
BU_RVWR_01_J0986,BU Reviewer,MSC-01-BU_RVWR_01_J0986
BU_RVWR_01_J0988,BU Reviewer,MSC-01-BU_RVWR_01_J0988
BU_RVWR_01_J0740,BU Reviewer,MSC-01-BU_RVWR_01_J0740
BU_RVWR_01_J0741,BU Reviewer,MSC-01-BU_RVWR_01_J0741
BU_RVWR_01_J0743,BU Reviewer,MSC-01-BU_RVWR_01_J0743
BU_RVWR_01_J0745,BU Reviewer,MSC-01-BU_RVWR_01_J0745
BU_RVWR_01_J0925,BU Reviewer,MSC-01-BU_RVWR_01_J0925
BU_RVWR_01_J0959,BU Reviewer,MSC-01-BU_RVWR_01_J0959
BU_RVWR_01_J0982,BU Reviewer,MSC-01-BU_RVWR_01_J0982
BU_RVWR_01_J0984,BU Reviewer,MSC-01-BU_RVWR_01_J0984
BU_RVWR_01_J0989,BU Reviewer,MSC-01-BU_RVWR_01_J0989
BU_RVWR_01_J0992,BU Reviewer,MSC-01-BU_RVWR_01_J0992
BU_RVWR_01_J0993,BU Reviewer,MSC-01-BU_RVWR_01_J0993
BU_RVWR_01_J0994,BU Reviewer,MSC-01-BU_RVWR_01_J0994
BU_RVWR_03_J0990,BU Reviewer,MSC-01-BU_RVWR_03_J0990
BU_RVWR_06_J0944,BU Reviewer,MSC-01-BU_RVWR_06_J0944
BU_RVWR_08_J0899,BU Reviewer,MSC-01-BU_RVWR_08_J0899
BU_RVWR_08_J0904,BU Reviewer,MSC-01-BU_RVWR_08_J0904
BU_RVWR_08_J0911,BU Reviewer,MSC-01-BU_RVWR_08_J0911
BU_RVWR_08_J0924,BU Reviewer,MSC-01-BU_RVWR_08_J0924
BU_RVWR_08_J0931,BU Reviewer,MSC-01-BU_RVWR_08_J0931
BU_RVWR_08_J0941,BU Reviewer,MSC-01-BU_RVWR_08_J0941
BU_RVWR_08_J0942,BU Reviewer,MSC-01-BU_RVWR_08_J0942
BU_RVWR_08_J0950,BU Reviewer,MSC-01-BU_RVWR_08_J0950
BU_RVWR_08_J0951,BU Reviewer,MSC-01-BU_RVWR_08_J0951
BU_RVWR_08_J0954,BU Reviewer,MSC-01-BU_RVWR_08_J0954
BU_RVWR_08_J0973,BU Reviewer,MSC-01-BU_RVWR_08_J0973
BU_RVWR_08_J0976,BU Reviewer,MSC-01-BU_RVWR_08_J0976
BU_RVWR_08_J0980,BU Reviewer,MSC-01-BU_RVWR_08_J0980
BU_RVWR_08_J0981,BU Reviewer,MSC-01-BU_RVWR_08_J0981
BU_RVWR_08_J0997,BU Reviewer,MSC-01-BU_RVWR_08_J0997
BU_RVWR_08_J0998,BU Reviewer,MSC-01-BU_RVWR_08_J0998
BU_RVWR_12_J0950,BU Reviewer,MSC-01-BU_RVWR_12_J0950
BU_RVWR_13_J0810,BU Reviewer,MSC-01-BU_RVWR_13_J0810
BU_RVWR_13_J0915,BU Reviewer,MSC-01-BU_RVWR_13_J0915
BU_RVWR_13_J0930,BU Reviewer,MSC-01-BU_RVWR_13_J0930
BU_RVWR_13_J0931,BU Reviewer,MSC-01-BU_RVWR_13_J0931
BU_RVWR_13_J0940,BU Reviewer,MSC-01-BU_RVWR_13_J0940
BU_RVWR_13_J0950,BU Reviewer,MSC-01-BU_RVWR_13_J0950
BU_RVWR_13_J0955,BU Reviewer,MSC-01-BU_RVWR_13_J0955
BU_RVWR_13_J0960,BU Reviewer,MSC-01-BU_RVWR_13_J0960
BU_RVWR_13_J0980,BU Reviewer,MSC-01-BU_RVWR_13_J0980
BU_RVWR_14_J0908,BU Reviewer,MSC-01-BU_RVWR_14_J0908
BU_RVWR_16_J0913,BU Reviewer,MSC-01-BU_RVWR_16_J0913
BU_RVWR_16_J0990,BU Reviewer,MSC-01-BU_RVWR_16_J0990
BU_RVWR_34_J0912,BU Reviewer,MSC-01-BU_RVWR_34_J0912
BU_RVWR_36_J0120,BU Reviewer,MSC-01-BU_RVWR_36_J0120
BU_RVWR_36_J0915,BU Reviewer,MSC-01-BU_RVWR_36_J0915
BU_RVWR_41_J0849,BU Reviewer,MSC-01-BU_RVWR_41_J0849
BU_RVWR_41_J0873,BU Reviewer,MSC-01-BU_RVWR_41_J0873
BU_RVWR_41_J0874,BU Reviewer,MSC-01-BU_RVWR_41_J0874
BU_RVWR_41_J0875,BU Reviewer,MSC-01-BU_RVWR_41_J0875
BU_RVWR_41_J0876,BU Reviewer,MSC-01-BU_RVWR_41_J0876
BU_RVWR_41_J0877,BU Reviewer,MSC-01-BU_RVWR_41_J0877
BU_RVWR_41_J0878,BU Reviewer,MSC-01-BU_RVWR_41_J0878
BU_RVWR_41_J0948,BU Reviewer,MSC-01-BU_RVWR_41_J0948
BU_RVWR_41_J0998,BU Reviewer,MSC-01-BU_RVWR_41_J0998
BU_RVWR_61_J9955,BU Reviewer,MSC-01-BU_RVWR_61_J9955
BU_RVWR_63_J0946,BU Reviewer,MSC-01-BU_RVWR_63_J0946
BU_RVWR_68_J0976,BU Reviewer,MSC-01-BU_RVWR_68_J0976
BU_RVWR_88_J0901,BU Reviewer,MSC-01-BU_RVWR_88_J0901
BU_RVWR_CZ_J0926,BU Reviewer,MSC-01-BU_RVWR_CZ_J0926
BU_RVWR_DH_J0400,BU Reviewer,MSC-01-BU_RVWR_DH_J0400
BU_RVWR_DQ_J0910,BU Reviewer,MSC-01-BU_RVWR_DQ_J0910
BU_RVWR_DV_J0990,BU Reviewer,MSC-01-BU_RVWR_DV_J0990
BU_RVWR_JG_J0400,BU Reviewer,MSC-01-BU_RVWR_JG_J0400
BU_RVWR_JI_J0484,BU Reviewer,MSC-01-BU_RVWR_JI_J0484
BU_RVWR_JM_J0990,BU Reviewer,MSC-01-BU_RVWR_JM_J0990
BU_RVWR_KO_J0990,BU Reviewer,MSC-01-BU_RVWR_KO_J0990
BU_RVWR_LU_J0941,BU Reviewer,MSC-01-BU_RVWR_LU_J0941
BU_RVWR_LU_J0977,BU Reviewer,MSC-01-BU_RVWR_LU_J0977
BU_RVWR_MV_J0900,BU Reviewer,MSC-01-BU_RVWR_MV_J0900
BU_RVWR_N4_J0905,BU Reviewer,MSC-01-BU_RVWR_N4_J0905
BU_RVWR_N4_J0917,BU Reviewer,MSC-01-BU_RVWR_N4_J0917
BU_RVWR_PR_J0924,BU Reviewer,MSC-01-BU_RVWR_PR_J0924
BU_RVWR_PR_J0976,BU Reviewer,MSC-01-BU_RVWR_PR_J0976
BU_RVWR_PR_J0998,BU Reviewer,MSC-01-BU_RVWR_PR_J0998
BU_RVWR_R8_J0635,BU Reviewer,MSC-01-BU_RVWR_R8_J0635
Boonville Receiving,Boonville Receiving,MSC-DV-BOONVILLERCVG
Buyer Exception Handler,Buyer Exception Handler,MSC-01-BUYEREXCPHANDLER
CAO Joliet Receiving,CAO Joliet Receiving,MSC-14-CAOJOLIETRCVG
CAT Invoice Data Entry,CAT Invoice Data Entry,MSC-01-CATINVDATAENTRY
CDI Receiving,CDI Receiving,MSC-01-CDIRCVG
CI_CBS_SG,Capital Approver Singapore,MSC-SG-CAPITAL_APPROVER
CR_CBS_CN_FT00,Central Receiving FT00,MSC-01-FT00_CENTRALRCVG
CR_CBS_MX_8900,Site Receiver 8900,MSC-01-CR_CBS_MX_8900
CR_CBS_MX_MC00,Site Receiver MC00,MSC-01-CR_CBS_MX_MC00
CR_CBS_MX_ME00,Site Receiver ME00,MSC-01-CR_CBS_MX_ME00
CR_CBS_MX_XY00,Site Receiver XY00,MSC-01-CR_CBS_MX_XY00
CR_MACH1_US_1885,CPPI Receiving,MSC-01-CPPIRCVG
C_CBS_MX_8900,Capital Approver(Mexico),MSC-01-C_CBS_MX_8900
C_CBS_MX_MC00,Capital Approver(Mexico),MSC-01-C_CBS_MX_MC00
C_CBS_MX_ME00,Capital Approver(Mexico),MSC-01-C_CBS_MX_ME00
C_CBS_MX_XY00,Capital Approver(Mexico),MSC-01-C_CBS_MX_XY00
Capital Approver (ezopen-36),Capital Approver (36),MSC-36-CAPAPPROVER
Capital Approver (ezopen-NF),Capital Approver (NF),MSC-NF-CAPAPPROVER
Capital Approver (ezopen-NG),Capital Approver (NG),MSC-NG-CAPAPPROVER
Capital Approver (mfg1-DX),Captial Approver (Peterborough),MSC-DX-CAPAPPROVER_UKDX
Capital Approver (mfg1-MX),Captial Approver (Shrewsbury),MSC-MX-CAPAPPROVER_UKMX
Capital Approver (mfg1-MY),Captial Approver (Stafford),MSC-MY-CAPAPPROVER_UKMY
Capital Approver (mfg1-NA),Captial Approver (Shibaura),MSC-NA-CAPAPPROVER_UKNA
Capital Approver (mfg1-GW),Captial Approver (Shrewsbury),MSC-GW-CAPAPPROVER_UKGW
Capital Reviewer (mfg1-DX),Captial Reviewer (Peterborough),MSC-DX-CAPREVIEWER_UKDX
Capital Reviewer (mfg1-MX),Captial Reviewer (Shrewsbury),MSC-MX-CAPREVIEWER_UKMX
Capital Reviewer (mfg1-MY),Captial Reviewer (Stafford),MSC-MY-CAPREVIEWER_UKMY
Capital Reviewer (mfg1-NA),Captial Reviewer (Shibaura),MSC-NA-CAPREVIEWER_UKNA
Capital Reviewer (mfg1-GW),Captial Reviewer (Shrewsbury),MSC-GW-CAPREVIEWER_UKGW
CatEditReceipts,CatEditReceipts,MSC-01-CATEDITRECEIPTS
Catalog Admin,Catalog Admin,MSC-01-CATALOGADMIN
Category Approver (10),Category Approver (10),MSC-01-CATAPPROVER10
Category Approver (11),Category Approver (11),MSC-01-CATAPPROVER11
Category Approver (12),Category Approver (12),MSC-01-CATAPPROVER12
Category Approver (13),Category Approver (13),MSC-01-CATAPPROVER13
Category Approver (14),Category Approver (14),MSC-01-CATAPPROVER14
Category Approver (15),Category Approver (15),MSC-01-CATAPPROVER15
Category Approver (20),Category Approver (20),MSC-01-CATAPPROVER20
Category Approver (21),Category Approver (21),MSC-01-CATAPPROVER21
Category Approver (22),Category Approver (22),MSC-01-CATAPPROVER22
Category Approver (23),Category Approver (23),MSC-01-CATAPPROVER23
Category Approver (24),Category Approver (24),MSC-01-CATAPPROVER24
Category Approver (25),Category Approver (25),MSC-01-CATAPPROVER25
Category Approver (26),Category Approver (26),MSC-01-CATAPPROVER26
Category Approver (27),Category Approver (27),MSC-01-CATAPPROVER27
Category Approver (30),Category Approver (30),MSC-01-CATAPPROVER30
Category Approver (31),Category Approver (31),MSC-01-CATAPPROVER31
Category Approver (32),Category Approver (32),MSC-01-CATAPPROVER32
Category Approver (39),Category Approver (39),MSC-01-CATAPPROVER39
Category Approver (40),Category Approver (40),MSC-01-CATAPPROVER40
Category Approver (41),Category Approver (41),MSC-01-CATAPPROVER41
Category Approver (42),Category Approver (42),MSC-01-CATAPPROVER42
Category Approver (43),Category Approver (43),MSC-01-CATAPPROVER43
Category Approver (4319),Category Approver (4319),MSC-01-CATAPPROVER4319
Category Approver (4320),Category Approver (4320),MSC-01-CATAPPROVER4320
Category Approver (4321),Category Approver (4321),MSC-01-CATAPPROVER4321
Category Approver (4322),Category Approver (4322),MSC-01-CATAPPROVER4322
Category Approver (4323),Category Approver (4323),MSC-01-CATAPPROVER4323
Category Approver (44),Category Approver (44),MSC-01-CATAPPROVER44
Category Approver (45),Category Approver (45),MSC-01-CATAPPROVER45
Category Approver (46),Category Approver (46),MSC-01-CATAPPROVER46
Category Approver (47),Category Approver (47),MSC-01-CATAPPROVER47
Category Approver (48),Category Approver (48),MSC-01-CATAPPROVER48
Category Approver (49),Category Approver (49),MSC-01-CATAPPROVER49
Category Approver (50),Category Approver (50),MSC-01-CATAPPROVER50
