Cp1252
Parent.UniqueName,UniqueName
"AB Receiving","AB Receiving"
"AD Receiving","AD Receiving"
"Aurora Receiving","Aurora Receiving"
"BCP Receiving","BCP Receiving"
"Boonville Receiving","Boonville Receiving"
"CAO Joliet Receiving","CAO Joliet Receiving"
"CatEditReceipts","CatEditReceipts"
"Contract Admin","Contract Admin"
"Contract Preparer","Contract Preparer"
"Corinth Receiving","Corinth Receiving"
"Cross-Dock Receiving","Cross-Dock Receiving"
"D&FP Accounting Review Group","D&FP Accounting Review Group"
"Data Maintainer","Data Maintainer"
"Decatur Receiving","Decatur Receiving"
"Dyersburg Receiving","Dyersburg Receiving"
"FreightExceptionHandler","FreightExceptionHandler"
"Greenville Receiving","Greenville Receiving"
"Griffin Receiving","Griffin Receiving"
"Hazmat Coordinator","Hazmat Coordinator"
"Houston Receiving","Houston Receiving"
"Joliet Receiving","Joliet Receiving"
"LC Receiving","LC Receiving"
"Lafayette Receiving","Lafayette Receiving"
"Lagrange Receiving","Lagrange Receiving"
"Lognet Processor","Lognet Processor"
"MSC Administrator","MSC Administrator"
"MSC Administrator","aribasystem"
"MSC Core Team","MSC Core Team"
"MSC Purchasing","MSC Purchasing"
"Mapleton Business Resources Group","Business Resource Approver"
"Mapleton Receiving","Mapleton Receiving"
"Miami Receiving","Miami Receiving"
"Morganton Receiving","Morganton Receiving"
"Mossville H Receiving","Mossville H Receiving"
"Oxford Receiving","Oxford Receiving"
"Pontiac Receiving","Pontiac Receiving"
"Prentiss Receiving","Prentiss Receiving"
"RPF Receiving","RPF Receiving"
"Reman Business Resources Group","Business Resource Approver"
"Report All","Report All"
"S&PD Business Resources Group","Business Resource Approver"
"Sumter HCG Receiving","Sumter HCG Receiving"
"Sumter PPPG Receiving","Sumter PPPG Receiving"
"TBU Receiving","TBU Receiving"
"Tax Audit","Tax Audit"
"Transaction Center (EU)","Transaction Center (EU)"
"Transaction Center (US)","Transaction Center (US)"
"Transaction Center (US)",Invoice Inquirer
"West Plains Receiving","West Plains Receiving"
AP_CBS_MX,AP_CBS_MX
Accounts Payable (ezopen),Accounts Payable (ezopen)
Accounts Payable (mfg1-DX),Accounts Payable (mfg1-DX)
Accounts Payable (mfg1-DX),Invoice Manager
Accounts Payable (mfg1-NA),Accounts Payable (mfg1-NA)
Accounts Payable (mfg1-NA),Invoice Manager
Analysis Admin,Analysis Administrator
Analysis User,Analysis Users
BA_CBS,BA_CBS
BA_CBS_CN,BA_CBS_CN
BR_CBS_MX_8900,BR_CBS_MX_8900
BR_CBS_MX_MC00,BR_CBS_MX_MC00
BR_CBS_MX_ME00,BR_CBS_MX_ME00
BR_CBS_MX_XY00,BR_CBS_MX_XY00
Buyer Administrator,Buyer Administrator
Buyer Exception Handler,Buyer Exception Handler
CAT Invoice Data Entry,CAT Invoice Data Entry
CAT Invoice Entry,CAT Invoice Entry
CDI Receiving,CDI Receiving
CI_CBS_SG,CI_CBS_SG
CR_CBS_CN_FT00,CR_CBS_CN_FT00
CR_CBS_MX_8900,CR_CBS_MX_8900
CR_CBS_MX_MC00,CR_CBS_MX_MC00
CR_CBS_MX_ME00,CR_CBS_MX_ME00
CR_CBS_MX_XY00,CR_CBS_MX_XY00
CR_MACH1_US_1885,CR_MACH1_US_1885
C_CBS_MX_8900,C_CBS_MX_8900
C_CBS_MX_MC00,C_CBS_MX_MC00
C_CBS_MX_ME00,C_CBS_MX_ME00
C_CBS_MX_XY00,C_CBS_MX_XY00
Capital Approver (ezopen-36),Capital Approver (ezopen-36)
Capital Approver (ezopen-NF),Capital Approver (ezopen-NF)
Capital Approver (ezopen-NG),Capital Approver (ezopen-NG)
Capital Approver (mfg1-DX),Capital Approver (mfg1-DX)
Capital Approver (mfg1-MX),Capital Approver (mfg1-MX)
Capital Approver (mfg1-MY),Capital Approver (mfg1-MY)
Capital Approver (mfg1-NA),Capital Approver (mfg1-NA)
Capital Approver (mfg1-GW),Capital Approver (mfg1-GW)
Capital Reviewer (mfg1-DX),Capital Reviewer (mfg1-DX)
