Cp1252
Parent.UniqueName,UniqueName,PasswordAdapter
"Boonville Receiving",6857767087,PasswordAdapter1
"Boonville Receiving",8108955706,PasswordAdapter1
"Goods Inward (UK_DX)",0257300768,PasswordAdapter1
"Goods Inward (UK_DX)",3615040223,PasswordAdapter1
"Goods Inward (UK_DX)",2322911499,PasswordAdapter1
"Goods Inward (UK_DX)",1675541452,PasswordAdapter1
"Goods Inward (UK_DX)",1863126121,PasswordAdapter1
"Goods Inward (UK_DX)",2075475013,PasswordAdapter1
"Goods Inward (UK_DX)",2153856427,PasswordAdapter1
"Goods Inward (UK_DX)",2346234439,PasswordAdapter1
"Goods Inward (UK_DX)",2677274191,PasswordAdapter1
"Goods Inward (UK_DX)",2825206329,PasswordAdapter1
"Goods Inward (UK_DX)",3119367627,PasswordAdapter1
"Goods Inward (UK_DX)",3529958253,PasswordAdapter1
"Goods Inward (UK_DX)",3712871043,PasswordAdapter1
"Goods Inward (UK_DX)",4713880667,PasswordAdapter1
"Goods Inward (UK_DX)",5203140182,PasswordAdapter1
"Goods Inward (UK_DX)",5217897139,PasswordAdapter1
"Goods Inward (UK_DX)",5811020625,PasswordAdapter1
"Goods Inward (UK_DX)",6430408838,PasswordAdapter1
"Goods Inward (UK_DX)",6516364519,PasswordAdapter1
"Goods Inward (UK_DX)",6595765208,PasswordAdapter1
"Goods Inward (UK_DX)",6759959968,PasswordAdapter1
"Goods Inward (UK_DX)",7121243003,PasswordAdapter1
"Goods Inward (UK_DX)",7436946703,PasswordAdapter1
"Goods Inward (UK_DX)",7905385544,PasswordAdapter1
"Goods Inward (UK_DX)",8095282032,PasswordAdapter1
"Goods Inward (UK_DX)",8123322162,PasswordAdapter1
"Goods Inward (UK_DX)",8518287347,PasswordAdapter1
"Goods Inward (UK_DX)",8739376984,PasswordAdapter1
"Goods Inward (UK_DX)",9600314166,PasswordAdapter1
"Goods Inward (UK_DX)",6018861271,PasswordAdapter1
"Goods Inward (UK_MX)",3163712461,PasswordAdapter1
"Goods Inward (UK_MX)",3240832586,PasswordAdapter1
"Goods Inward (UK_MX)",8169485724,PasswordAdapter1
"Goods Inward (UK_MY)",3942131657,PasswordAdapter1
"Goods Inward (UK_NA)",2075475013,PasswordAdapter1
"Goods Inward (UK_NA)",2153856427,PasswordAdapter1
"Goods Inward (UK_NA)",2346234439,PasswordAdapter1
"Goods Inward (UK_NA)",2677274191,PasswordAdapter1
"Goods Inward (UK_NA)",3712871043,PasswordAdapter1
"Goods Inward (UK_NA)",4587201822,PasswordAdapter1
"Goods Inward (UK_NA)",5203140182,PasswordAdapter1
"Goods Inward (UK_NA)",5217897139,PasswordAdapter1
"Goods Inward (UK_NA)",5652328474,PasswordAdapter1
"Goods Inward (UK_NA)",6362414404,PasswordAdapter1
"Goods Inward (UK_NA)",6708570508,PasswordAdapter1
"Goods Inward (UK_NA)",7836363311,PasswordAdapter1
"Goods Inward (UK_NA)",9188324285,PasswordAdapter1
"Goods Inward (UK_NA)",4717543900,PasswordAdapter1
"Goods Inward (UK_NA)",1315849467,PasswordAdapter1
AB Receiving,1731534609,PasswordAdapter1
AB Receiving,3275894919,PasswordAdapter1
AB Receiving,6022743210,PasswordAdapter1
AD Receiving,4798667020,PasswordAdapter1
Accounts Payable (ezopen),2041946681,PasswordAdapter1
Accounts Payable (ezopen),5044370103,PasswordAdapter1
Accounts Payable (ezopen),5616225658,PasswordAdapter1
Accounts Payable (ezopen),7204571116,PasswordAdapter1
Accounts Payable (ezopen),3412352296,PasswordAdapter1
Accounts Payable (ezopen),3095023031,PasswordAdapter1
Accounts Payable (ezopen),4601430600,PasswordAdapter1
Accounts Payable (ezopen),5574024625,PasswordAdapter1
Accounts Payable (ezopen),5612868759,PasswordAdapter1
Accounts Payable (ezopen),9965147059,PasswordAdapter1
Accounts Payable (ezopen),6108413068,PasswordAdapter1
Accounts Payable (ezopen),6885062956,PasswordAdapter1
Accounts Payable (mfg1-DX),0544384311,PasswordAdapter1
Accounts Payable (mfg1-DX),5647930699,PasswordAdapter1
