"UTF-8"
UniqueName,Name
"General Exception Handler3","General Exception Handler3"
"General Exception Handler4","General Exception Handler4"
"General Exception Handler5","General Exception Handler5"
"General Exception Handler8","General Exception Handler8"
"General Exception Handler7","General Exception Handler7"
"General Exception Handler9","General Exception Handler9"
"General Exception Handler10","General Exception Handler10"
"General Exception Handler12","General Exception Handler12"
"General Exception Handler13","General Exception Handler13"
"General Exception Handler14","General Exception Handler14"
"General Exception Handler15","General Exception Handler15"
"Supplier Entry","Supplier Entry"
"Goods Inward (UK_MX)","Goods Inward (MX)"
"Goods Inward (UK_MY)","Goods Inward (MY)"
"Category Approver (mfg1-IT-MX)","IT Approver (MX)"
"Category Approver (mfg1-IT-DX)","IT Approver (DX)"
"Category Approver (mfg1-IT-MY)","IT Approver (MY)"
"Category Approver (mfg1-HR-DX)","HR Approver (DX)"
"Category Approver (mfg1-HR-NA)","HR Approver (NA)"
"Category Approver (mfg1-HR-MX)","HR Approver (MX)"
"Category Approver (mfg1-HR-MY)","HR Approver (MY)"
"Category Approver (mfg1-ACS-DX)","Audit & Consult. Srvs Approver (DX)"
"Category Approver (mfg1-ACS-MX)","Audit & Consult. Srvs Approver (MX)"
"Capital Reviewer","Capital Reviewer"
"Capital Approver","Capital Approver"
"Capital Reviewer (mfg1-NA)","Capital Reviewer (NA)"
"Capital Reviewer (mfg1-MY)","Capital Reviewer (MY)"
"Capital Reviewer (mfg1-GW)","Capital Reviewer (GW)"
"Capital Approver (mfg1-DX)","Capital Approver (DX)"
"Capital Approver (mfg1-GW)","Capital Approver (GW)"
"Capital Approver (mfg1-NA)","Capital Approver (NA)"
"Capital Approver (mfg1-MX)","Capital Approver (MX)"
"Capital Approver (mfg1-MY)","Capital Approver (MY)"
"Category Approver","Category Approver"
"Lognet Processor","Lognet Processor"
"MSC Administrator","MSC Administrator"
"MSC Core Team","MSC Core Team"
"Tax Audit","Tax Audit"
"Indirect (TBU)","Indirect Purchasing Contact - TBU"
"Indirect (TSD)","Indirect Purchasing Contact - TSD"
"Indirect (TTTD)","Indirect Purchasing Contact - TTTD"
"Indirect (GP)","Indirect Purchasing Contact - GP"
"Category Approver (12)","Category Approver (12)"
"Category Approver (23)","Category Approver (23)"
"Category Approver (14)","Category Approver (14)"
"Category Approver (27)","Category Approver (27)"
"Category Approver (24)","Category Approver (24)"
"Category Approver (31)","Category Approver (31)"
"Category Approver (32)","Category Approver (32)"
"Category Approver (39)","Category Approver (39)"
"Category Approver (40)","Category Approver (40)"
"Category Approver (42)","Category Approver (42)"
"Category Approver (43)","Category Approver (43)"
"Category Approver (4321)","Category Approver (4321)"
"Category Approver (4322)","Category Approver (4322)"
"Category Approver (4320)","Category Approver (4320)"
"Category Approver (4323)","Category Approver (4323)"
"Category Approver (46)","Category Approver (46)"
"Category Approver (45)","Category Approver (45)"
"Category Approver (47)","Category Approver (47)"
"Category Approver (52)","Category Approver (52)"
"Category Approver (49)","Category Approver (49)"
